"id","city","company","name","type","prod","type_ru","lat","long","out","name_en"
67,"Нижневартовск","ООО «Газпромнефть-Хантос»","Малоюганское месторождение","oil","17.30","нефтяное",60.183333,75.083333,"/oil-gas-field/maloyuganskoe","Maloyuganskoe"
68,"Муравленко","АО «Газпромнефть-Ноябрьскнефтегаз»","Романовское месторождение","oil","17.10","нефтяное",63.83945,73.9833,"/oil-gas-field/romanovskoe","Romanovskoe"
69,"Южно-Сахалинск","Эксон Нефтегаз Лимитед","Месторождение Чайво","oil-gas-condensate","14.00","нефтегазоконденсатное",52.422778,143.449167,"/oil-gas-field/chayvo","Chayvo"
70,"Тара","АО «Томскнефть» ВНК","Игольско-Таловое месторождение","oil","13.00","нефтяное",57.677356,76.293182,"/oil-gas-field/igolsko-tall","Igolsko Tall"
71,"Нижневартовск","ООО «Газпромнефть-Хантос»","Южное месторождение","oil","12.90","нефтяное",60.62269,75.98281,"/oil-gas-field/yuzhnoe","Yuzhnoe"
72,"Саратов","ООО «НК ГеоПромНефть»","Клинцовское месторождение","oil","12.00","нефтяное",51.658341,49.199352,"/oil-gas-field/klintsovsky","Klintsovsky"
73,"Тобольск","ООО «РН «Уватнефтегаз»","Протозановское месторождение","oil","12.00","нефтяное",58.923613,72.790432,"/oil-gas-field/protozanovskoe","Protozanovskoe"
74,"Пыть-Ях","ООО «РН-Юганскнефтегаз»","Месторождение им. Московцева","oil","11.00","нефтяное",60.060833,72.731389,"/oil-gas-field/moscovets","Moscovets"
75,"Томск","АО НК ""РуссНефть""","Южно-Мыльджинское месторождение","oil","10.50","нефтяное",58.522568,78.138027,"/oil-gas-field/yuzhno-myldzhinskoe","Yuzhno Myldzhinskoe"
76,"Иркутск","АО «ИНК-Запад»","Ичединское месторождение","oil","10.00","нефтяное",57.874229,105.786804,"/oil-gas-field/ichedinskoe","Ichedinskoe"
77,"Усинск","ООО ""Енисей""","Западно-Сынатыское месторождение","oil-gas","9.00","нефтегазовое",66.32124,57.227097,"/oil-gas-field/west-synat","West Synat"
78,"Новый Уренгой","ПАО ""НК ""РОСНЕФТЬ""","Береговое месторождение","gas-condensate","9.00","газоконденсатное",65.832873,78.85231,"/oil-gas-field/beregovoe","Beregovoe"
79,"Ханты-Мансийск","ОАО ""Сургутнефтегаз""","Южно-Нюрымское месторождение","oil","8.50","нефтяное",59.684988,69.913387,"/oil-gas-field/yuzhno-nyurymskoe","Yuzhno Nyurymskoe"
80,"Сорочинск","ООО «Газпромнефть-Оренбург»","Балейкинское месторождение","oil","7.22","нефтяное",52.45182,53.73275,"/oil-gas-field/baleykinskoe","Baleykinskoe"
81,"Оха","ПАО ""НК ""РОСНЕФТЬ""","Месторождение Тунгор","oil-gas-condensate","6.87","нефтегазоконденсатное",53.383333,142.966667,"/oil-gas-field/tungor","Tungor"
82,"Нижневартовск","ООО «Газпромнефть-Хантос»","Орехово-Ермаковское месторождение","oil","6.80","нефтяное",60.83219,75.73287,"/oil-gas-field/orehovo-ermakovskoe","Orehovo Ermakovskoe"
83,"Тазовский","ООО «НОВАТЭК-ТАРКОСАЛЕНЕФТЕГАЗ»","Северо-Русское месторождение","gas-condensate","6.50","газоконденсатное",67.162778,80.235278,"/oil-gas-field/north-russkoe","North Russkoe"
84,"Оренбург","ООО «Газпромнефть-Оренбург»","Капитоновское месторождение","oil-gas","5.80","нефтегазовое",52.03221,54.02526,"/oil-gas-field/kapitonovskoye","Kapitonovskoye"
85,"Нефтегорск","АО ""Самаранефтегаз""","Кулешовское месторождение","oil","5.10","нефтяное",52.847416,51.209593,"/oil-gas-field/kuleshovskoe","Kuleshovskoe"
86,"Бариновка","АО ""Самаранефтегаз""","Бариновско-Лебяжинское месторождение","oil","4.60","нефтяное",52.907349,50.854855,"/oil-gas-field/barinovsko-lebyazhinskoe","Barinovsko Lebyazhinskoe"
87,"Отрадный","АО ""Самаранефтегаз""","Мухановское месторождение","oil","4.10","нефтяное",53.338356,51.534977,"/oil-gas-field/muhanovskoe","Muhanovskoe"
88,"Тымовское","ПАО «Газпром»","Южно-Киринское месторождение","gas-condensate","4.10","газоконденсатное",51.177621,144.294434,"/oil-gas-field/south-kirinskoe","South Kirinskoe"
89,"Нефтегорск","АО ""Самаранефтегаз""","Утевское месторождение","oil","3.94","нефтяное",52.882702,51.017675,"/oil-gas-field/utevskoe","Utevskoe"
90,"Нижневартовск","ООО «Газпромнефть-Хантос»","Южно-Киняминское месторождение","oil","3.70","нефтяное",60.18045,75.14099,"/oil-gas-field/south-kinyaminskoe","South Kinyaminskoe"
91,"Батайск","ООО «Газпром добыча Краснодар»","Азовское месторождение","oil-gas","3.19","нефтегазовое",44.866667,38.698611,"/oil-gas-field/azovskoye","Azovskoye"
92,"Астрахань","ПАО ""ЛУКОЙЛ""","Хвалынское месторождение","oil-gas-condensate","2.00","нефтегазоконденсатное",44.215833,49.286667,"/oil-gas-field/hvalinskoe","Hvalinskoe"
93,"Тара","АО «Томскнефть» ВНК","Двуреченское месторождение","oil","1.80","нефтяное",58.276174,75.752059,"/oil-gas-field/dvurechenskoe","Dvurechenskoe"
94,"Кедровый","ООО «Газпромнефть-Восток»","Шингинское месторождение","oil-gas-condensate","1.20","нефтегазоконденсатное",58.31886,78.50349,"/oil-gas-field/shinginskoye","Shinginskoye"
95,"Оренбург","ООО ""Газпром добыча Оренбург""","Нагумановское месторождение","oil-gas-condensate","0.96","нефтегазоконденсатное",51.305278,55.306944,"/oil-gas-field/nagumanovskoye","Nagumanovskoye"
97,"Кедровый","ООО «Газпромнефть-Восток»","Западно-Лугинецкое месторождение","oil","","нефтяное",58.07896,78.66004,"/oil-gas-field/zapadno-luginetskoye","Zapadno Luginetskoye"
98,"Кедровый","ООО «Газпромнефть-Восток»","Нижнелугинецкое месторождение","oil","","нефтяное",58.17685,78.6985,"/oil-gas-field/nizhneluginetskoye","Nizhneluginetskoye"
